stop_id,stop_name,stop_lat,stop_lon,stop_IBNR
36509,Legionowo,52.40140810951,20.94165234261,428
83105,Przeworsk,50.06725141172,22.50268644933,163
82073,Rytro,49.4865413333,20.68026774404,3256
65300,Sandomierz,50.6605739154,21.76532525756,179
12872,Trakiszki,54.23942758887,23.20794756812,415
45476,Ostrzeszów,51.4296015581,17.94054666434,7338
1404,Goleniów,53.55909731774,14.83954776098,506
57521,Duszniki-Zdrój,50.40912607558,16.38563095987,35
45245,Kalisz,51.74278329437,18.07118445486,65
45682,Wieluń,51.22344251522,18.5826561733,237
2204,Stargard,53.33942629473,15.03140769201,198
49809,Dęblin,51.57813499126,21.83432672884,32
73312,Katowice,50.25761103501,19.01740878365,71
44701,Jarocin,51.9691396654,17.49470003554,56
56168,Szklarska Poręba Dolna,50.8483479237,15.55694243247,6450
77107,Oświęcim,50.04166577323,19.20004194494,146
12609,Giżycko,54.03136915601,21.77804811001,42
39008,Mińsk Mazowiecki,52.17586935636,21.55245601594,429
67009,Kędzierzyn Koźle,50.34505220673,18.20473906867,72
10900,Morąg,53.9190426325,19.92265326678,127
84400,Przemyśl Główny,49.78371640149,22.77800023019,162
47605,Tomaszów Mazowiecki,51.54681097307,20.03376730833,225
262835,Stalowa Wola Charzewice,50.60310063115,22.02512561738,
78907,Nowy Targ,49.47311287611,20.01558943355,135
24000,Białystok,53.13357012396,23.1353969616,6
77834,Chrzanów Śródmieście,50.1440642364,19.41376705146,3054
16139,Rogoźno Wielkopolskie,52.75438614339,16.97174572074,517
59576,Oleśnica Rataje,51.21584759927,17.36443823223,6311
51177,Krasnystaw Miasto,50.98511134643,23.18297937705,2120
6791,Hel,54.61110813761,18.80093927487,51
5256,Lębork,54.53362086617,17.75043008566,101
79467,Miechów,50.35364233862,20.01075667005,3173
47829,Gorzkowice,51.21824108365,19.60311984414,1136
68700,Racibórz,50.0904006231,18.2264190835,167
77057,Ustroń Polana,49.69672804322,18.83002727956,
233222,Siedlce Zachodnie,52.17351388703,22.2355422324,202
73908,Jaworzno Szczakowa,50.2463654005,19.29713104255,60
26211,Nowy Tomyśl,52.30412409838,16.13304662706,7317
10827,Ruciane Nida,53.64918966836,21.56292929043,435
83725,Zarszyn,49.58419402356,22.01948210584,3348
21428,Rypin,53.06863231073,19.42769586772,5550
55806,Jelenia Góra,50.90260149015,15.7559269735,63
81786,Biecz,49.73277370969,21.26360892177,3035
41277,Małomice,51.5496823915,15.4469895364,7273
4101,Kołobrzeg,54.18220163355,15.57077765709,78
3632,Świdwin,53.78111392914,15.77274066944,8398
3905,Białogard,54.00994582961,15.97770929606,4
7534,Gdańsk Wrzeszcz,54.381951326,18.60508491696,5162
65532,Nowa Dęba,50.41544555368,21.7398056001,2167
251555,Łódź Pabianicka,51.72641710553,19.4451013029,6497
83758,Zagórz,49.51343861102,22.26428609352,252
75788,Skoczów,49.79354529741,18.79014014661,
264954,Łódź Retkinia,51.74034966243,19.40656944841,6564
41202,Żagań,51.60411323724,15.31502653134,269
25403,Hajnówka,52.73242303431,23.58373045385,423
79657,Bochnia,49.9773503436,20.43153122078,9
50666,Trawniki,51.13598108505,22.99342727878,2268
51862,Zgorzelec Miasto,51.15461801471,15.0201610086,266
39974,Radzyń Podlaski,51.82712515124,22.66861437678,1385
57703,Ząbkowice Śląskie,50.59734287465,16.81274055362,6543
50484,Świdnik Miasto,51.22379900765,22.69500085715,214
51508,Kraśnik,50.92946229381,22.2834988062,2121
83535,Krosno Miasto,49.6826876126,21.77269317516,3140
61572,Ozimek,50.67000478647,18.20859612165,6329
66589,Zwierzyniec,50.60920539748,22.98429796271,2307
33506,Warszawa Zachodnia,52.21995562238,20.96576919014,404
56143,Piechowice,50.85170662987,15.59147073651,6339
11809,Ełk,53.82500922001,22.36246191495,38
54205,Rokitki,51.33566591902,15.89315055728,6389
57307,Kłodzko Główne,50.45087250511,16.657161841,75
40832,Międzyrzec Podlaski,51.97602474764,22.7854278251,125
82404,Muszyna,49.34599381066,20.89367409099,128
51805,Węgliniec,51.29011852119,15.22298410229,235
76901,Goleszów,49.74686280831,18.74919354379,
39321,Sobolew,51.74134575258,21.673084459,1422
24737,Czyżew,52.79971278558,22.34214662433,28
254539,Izbica,50.89063190852,23.15544673968,5231
64899,Włoszczowa Północ,50.85670346333,19.94616149783,2286
77701,Krzeszowice,50.13093009818,19.63411147213,3145
24638,Szepietowo,52.87006765067,22.54107530054,208
10405,Kętrzyn,54.07262720034,21.38515338756,408
