monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20240414,20240414,145
0,0,0,0,0,0,1,20240414,20240421,222
0,0,0,0,0,0,1,20240414,20240421,772
0,0,0,0,0,0,1,20240414,20240424,33
0,0,0,0,0,0,1,20240414,20240428,161
0,0,0,0,0,0,1,20240414,20240428,729
0,0,0,0,0,0,1,20240414,20240501,661
0,0,0,0,0,0,1,20240414,20240503,85
0,0,0,0,0,0,1,20240414,20240505,535
0,0,0,0,0,0,1,20240414,20240509,852
0,0,0,0,0,0,1,20240414,20240512,344
0,0,0,0,0,0,1,20240414,20240512,580
0,0,0,0,0,0,1,20240414,20240512,621
0,0,0,0,0,0,1,20240414,20240512,634
0,0,0,0,0,0,1,20240414,20240512,655
0,0,0,0,0,0,1,20240414,20240512,713
0,0,0,0,0,0,1,20240414,20240512,812
0,0,0,0,0,0,1,20240419,20240421,505
0,0,0,0,0,0,1,20240420,20240505,798
0,0,0,0,0,0,1,20240420,20240512,410
0,0,0,0,0,0,1,20240421,20240503,557
0,0,0,0,0,0,1,20240421,20240505,461
0,0,0,0,0,0,1,20240421,20240505,98
0,0,0,0,0,0,1,20240421,20240509,267
0,0,0,0,0,0,1,20240421,20240509,6
0,0,0,0,0,0,1,20240421,20240512,128
0,0,0,0,0,0,1,20240421,20240512,144
0,0,0,0,0,0,1,20240421,20240512,163
0,0,0,0,0,0,1,20240421,20240512,572
0,0,0,0,0,0,1,20240421,20240512,907
0,0,0,0,0,0,1,20240426,20240508,130
0,0,0,0,0,0,1,20240428,20240505,737
0,0,0,0,0,0,1,20240428,20240512,528
0,0,0,0,0,0,1,20240428,20240512,563
0,0,0,0,0,0,1,20240428,20240512,868
0,0,0,0,0,0,1,20240505,20240512,384
0,0,0,0,0,0,1,20240505,20240512,87
0,0,0,0,0,1,0,20240414,20240420,560
0,0,0,0,0,1,0,20240414,20240502,20
0,0,0,0,0,1,0,20240414,20240504,885
0,0,0,0,0,1,0,20240420,20240428,487
0,0,0,0,0,1,0,20240420,20240504,141
0,0,0,0,0,1,0,20240420,20240509,129
0,0,0,0,0,1,0,20240420,20240510,920
0,0,0,0,0,1,0,20240420,20240511,232
0,0,0,0,0,1,0,20240420,20240511,317
0,0,0,0,0,1,0,20240420,20240511,48
0,0,0,0,0,1,0,20240420,20240511,488
0,0,0,0,0,1,0,20240420,20240511,602
0,0,0,0,0,1,0,20240420,20240511,714
0,0,0,0,0,1,0,20240427,20240504,465
0,0,0,0,0,1,0,20240427,20240511,280
0,0,0,0,0,1,0,20240427,20240511,564
0,0,0,0,0,1,0,20240427,20240512,221
0,0,0,0,0,1,0,20240502,20240514,765
0,0,0,0,0,1,0,20240504,20240511,854
0,0,0,0,0,1,1,20240414,20240426,690
0,0,0,0,0,1,1,20240414,20240428,329
0,0,0,0,0,1,1,20240414,20240501,179
0,0,0,0,0,1,1,20240414,20240505,117
0,0,0,0,0,1,1,20240414,20240505,276
0,0,0,0,0,1,1,20240414,20240511,137
0,0,0,0,0,1,1,20240414,20240511,178
0,0,0,0,0,1,1,20240414,20240511,616
0,0,0,0,0,1,1,20240414,20240512,164
0,0,0,0,0,1,1,20240414,20240512,176
0,0,0,0,0,1,1,20240414,20240512,28
0,0,0,0,0,1,1,20240414,20240512,318
0,0,0,0,0,1,1,20240414,20240512,431
0,0,0,0,0,1,1,20240414,20240512,551
0,0,0,0,0,1,1,20240414,20240512,721
0,0,0,0,0,1,1,20240414,20240512,961
0,0,0,0,0,1,1,20240418,20240512,771
0,0,0,0,0,1,1,20240419,20240512,566
0,0,0,0,0,1,1,20240420,20240421,246
0,0,0,0,0,1,1,20240420,20240428,440
0,0,0,0,0,1,1,20240420,20240428,448
0,0,0,0,0,1,1,20240420,20240505,181
0,0,0,0,0,1,1,20240420,20240505,183
0,0,0,0,0,1,1,20240420,20240505,29
0,0,0,0,0,1,1,20240420,20240505,911
0,0,0,0,0,1,1,20240420,20240509,595
0,0,0,0,0,1,1,20240420,20240512,225
0,0,0,0,0,1,1,20240420,20240512,30
0,0,0,0,0,1,1,20240420,20240512,387
0,0,0,0,0,1,1,20240420,20240512,867
0,0,0,0,0,1,1,20240420,20240512,884
0,0,0,0,0,1,1,20240420,20240512,95
0,0,0,0,0,1,1,20240420,20240513,402
0,0,0,0,0,1,1,20240421,20240505,354
0,0,0,0,0,1,1,20240421,20240511,926
0,0,0,0,0,1,1,20240421,20240512,579
0,0,0,0,0,1,1,20240427,20240428,17
0,0,0,0,0,1,1,20240427,20240505,665
0,0,0,0,0,1,1,20240427,20240512,462
0,0,0,0,0,1,1,20240427,20240512,536
0,0,0,0,0,1,1,20240427,20240512,612
0,0,0,0,0,1,1,20240427,20240512,736
0,0,0,0,0,1,1,20240428,20240504,707
0,0,0,0,0,1,1,20240428,20240512,310
0,0,0,0,0,1,1,20240501,20240512,159
0,0,0,0,0,1,1,20240504,20240505,348
0,0,0,0,0,1,1,20240504,20240512,67
0,0,0,0,0,1,1,20240505,20240512,860
0,0,0,0,0,1,1,20240511,20240512,323
0,0,0,0,1,0,0,20240414,20240426,703
0,0,0,0,1,0,0,20240414,20240503,653
0,0,0,0,1,0,0,20240414,20240510,192
0,0,0,0,1,0,0,20240419,20240427,698
0,0,0,0,1,0,0,20240419,20240503,399
0,0,0,0,1,0,0,20240419,20240503,62
0,0,0,0,1,0,0,20240419,20240508,31
0,0,0,0,1,0,0,20240419,20240510,514
0,0,0,0,1,0,0,20240419,20240510,717
0,0,0,0,1,0,0,20240419,20240510,724
0,0,0,0,1,0,0,20240419,20240510,832
0,0,0,0,1,0,0,20240426,20240503,268
0,0,0,0,1,0,0,20240426,20240508,639
0,0,0,0,1,0,0,20240426,20240510,427
0,0,0,0,1,0,0,20240426,20240510,71
0,0,0,0,1,0,0,20240426,20240512,875
0,0,0,0,1,0,1,20240414,20240508,11
0,0,0,0,1,0,1,20240414,20240512,100
0,0,0,0,1,0,1,20240414,20240512,342
0,0,0,0,1,0,1,20240414,20240512,711
0,0,0,0,1,0,1,20240414,20240512,848
0,0,0,0,1,0,1,20240419,20240421,359
0,0,0,0,1,0,1,20240419,20240428,766
0,0,0,0,1,0,1,20240419,20240512,147
0,0,0,0,1,0,1,20240426,20240505,437
0,0,0,0,1,0,1,20240426,20240512,683
0,0,0,0,1,0,1,20240426,20240512,825
0,0,0,0,1,0,1,20240510,20240512,526
0,0,0,0,1,1,0,20240414,20240419,466
0,0,0,0,1,1,0,20240414,20240420,300
0,0,0,0,1,1,0,20240419,20240421,173
0,0,0,0,1,1,0,20240419,20240427,775
0,0,0,0,1,1,0,20240419,20240428,343
0,0,0,0,1,1,0,20240419,20240511,258
0,0,0,0,1,1,0,20240426,20240427,407
0,0,0,0,1,1,0,20240426,20240428,21
0,0,0,0,1,1,0,20240427,20240504,420
0,0,0,0,1,1,0,20240430,20240511,68
0,0,0,0,1,1,0,20240504,20240511,749
0,0,0,0,1,1,0,20240510,20240511,608
0,0,0,0,1,1,0,20240510,20240513,827
0,0,0,0,1,1,0,20240510,20240514,8
0,0,0,0,1,1,1,20240414,20240512,151
0,0,0,0,1,1,1,20240414,20240512,382
0,0,0,0,1,1,1,20240414,20240512,898
0,0,0,0,1,1,1,20240419,20240421,529
0,0,0,0,1,1,1,20240419,20240505,637
0,0,0,0,1,1,1,20240419,20240509,511
0,0,0,0,1,1,1,20240419,20240512,119
0,0,0,0,1,1,1,20240419,20240512,273
0,0,0,0,1,1,1,20240419,20240512,75
0,0,0,0,1,1,1,20240419,20240512,923
0,0,0,0,1,1,1,20240420,20240512,41
0,0,0,0,1,1,1,20240420,20240512,533
